Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T,,BH,CPT,Bedrock?,Liquefiable?,Soft Soils?,DH,XH,SW,HVSR,Gravity,Reflection,Other,
014A,-39.49995332,176.8754973,20,D,176,0.05,Q1,Stolte et al. 2021 unpublished,1.1,0.1,Q1,I,Manea et al. 2021 unpublished,118,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),6475,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
015A,-39.48905314,176.8981976,60,C,440,0.1,Q2,Stolte et al. 2021 unpublished,0.05,0.3,Q3,I,Kaiser et al. (2017),58,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),6675,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
016A,-38.6774391,178.0310143,122,C,480,0.2,Q3,McVerry (2011),0.15,0.3,Q3,I,McVerry (2011),10,0.5,Q3,1,Kaiser et al. (2017),10175,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
017A,-38.66623886,178.0227143,5,D,162,0.0108,Q1,Stolte et al. 2021 unpublished,0.9061,0.0969,Q1,Ms,Stolte et al. 2021 unpublished,120,0.0723,Q2,1,Stolte et al. (2021) unpublished,10125,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
018A,-38.66403882,178.0249143,5,E,138,0.1,Q2,Barker 1994 Kingma 1964,1.11,0.1,Q1,Ms,Stolte et al. 2021 unpublished,78,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),10175,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
021A,-38.42493057,176.3156942,315,D,210,0.2,Q3,Perrin et al. (2015),2,0.3,Q3,I,Kaiser et al. (2017),138,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1375,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
024A,-39.05703788,174.0739644,9,D,350,0.2,Q3,McVerry (2011),0.9,0.3,Q3,I,McVerry (2011),98,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1475,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
025A,-39.58494918,174.2734648,100,D,210,0.1,Q2,Barker 1997a,0.6,0.2,Q2,Ms,Unpub HVSR (Van Houtte),49,0.5,Q2,1,Kaiser et al. (2017) & NZVM (2021),1425,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
027A,-39.50455346,176.8959975,14,D,230,0.0176,Q2,Stolte et al. 2021 unpublished,0.87,0.2,Q2,I,Stolte et al. 2021 unpublished,163,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),6525,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
027C,-39.50455346,176.8959975,14,D,230,0.0176,Q2,Stolte et al. 2021 unpublished,0.87,0.2,Q2,I,Stolte et al. 2021 unpublished,163,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),6525,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
027F,-39.48855318,176.9189979,10,C,268,0.2,Q3,McVerry (2011),0.34,0.1,Q1,I,Stolte et al. 2022a,115,0.5,Q3,1,NZVM (2021),6625,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
027G,-39.48855318,176.9189979,10,C,268,0.2,Q3,McVerry (2011),0.34,0.1,Q1,I,Stolte et al. 2022a,115,0.5,Q3,1,NZVM (2021),6625,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
028A,-38.00792469,177.2840074,2,D,215,0.221,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.3,Q3,I,Kaiser et al. (2017),75,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
