easting,northing,longitude,latitude,domain_no,domainname,domaintype
1074463.59777,5032776.32674,166.370668489,-44.6655902907,1,Northwest Zealandia platform,Peripheral platform
1020488.48983,4939642.80712,165.587894479,-45.4556304635,1,Northwest Zealandia platform,Peripheral platform
1040815.94907,5007166.55548,165.921312276,-44.8690292255,1,Northwest Zealandia platform,Peripheral platform
1045049.29087,5063258.33434,166.03498449,-44.3711276798,1,Northwest Zealandia platform,Peripheral platform
1009065.88557,5116175.10686,165.64614926,-43.8703135012,1,Northwest Zealandia platform,Peripheral platform
1004223.35034,5141760.97843,165.614687643,-43.6379795989,1,Northwest Zealandia platform,Peripheral platform
1118375.85295,5227431.02831,167.096325265,-42.9533115077,1,Northwest Zealandia platform,Peripheral platform
1287709.52494,5451798.14379,169.285694311,-41.0251827139,1,Northwest Zealandia platform,Peripheral platform
1503609.95674,5841265.58948,171.90848095,-37.5706054526,1,Northwest Zealandia platform,Peripheral platform
1539070.72922,6175482.17201,172.33583026,-34.560604087,1,Northwest Zealandia platform,Peripheral platform
1625077.16498,6241954.97872,173.271431996,-33.962624215,1,Northwest Zealandia platform,Peripheral platform
1710179.65723,6129074.10583,174.207027188,-34.9749091039,1,Northwest Zealandia platform,Peripheral platform
1796773.30304,6017207.23397,175.182275346,-35.9697303634,1,Northwest Zealandia platform,Peripheral platform
1757078.21021,5967401.53649,174.752227911,-36.4257497689,1,Northwest Zealandia platform,Peripheral platform
1721004.25267,5922282.93917,174.357047471,-36.8376068837,1,Northwest Zealandia platform,Peripheral platform
1685682.30703,5854814.05423,173.968702338,-37.4495606552,1,Northwest Zealandia platform,Peripheral platform
1675363.53639,5793298.3062,173.85842954,-38.0048583221,1,Northwest Zealandia platform,Peripheral platform
1649759.53315,5704837.84212,173.573063951,-38.8038161351,1,Northwest Zealandia platform,Peripheral platform
1575269.52064,5594985.48567,172.711142515,-39.7947295806,1,Northwest Zealandia platform,Peripheral platform
1516414.78099,5509796.69753,172.012707097,-40.5583807619,1,Northwest Zealandia platform,Peripheral platform
1458968.03242,5380227.55436,171.304591355,-41.7172508923,1,Northwest Zealandia platform,Peripheral platform
1407461.44806,5276278.60158,170.651454608,-42.6418806155,1,Northwest Zealandia platform,Peripheral platform
1250055.03477,5161233.34214,168.663007915,-43.6195698269,1,Northwest Zealandia platform,Peripheral platform
1184763.56046,5115484.6593,167.821388888,-43.9963057072,1,Northwest Zealandia platform,Peripheral platform
1136706.95141,5087958.59864,167.200782952,-44.2141894702,1,Northwest Zealandia platform,Peripheral platform
1106742.82899,5063468.05483,166.804702318,-44.4137789367,1,Northwest Zealandia platform,Peripheral platform
1074463.59777,5032776.32674,166.370668489,-44.6655902907,1,Northwest Zealandia platform,Peripheral platform
1942206.23279,6000516.40198,176.799878007,-36.079760831,4,Havre Trough - Taupo Rift,Extensional
2086489.74022,5991033.62267,178.402396201,-36.1035018648,4,Havre Trough - Taupo Rift,Extensional
2033006.70139,5914515.05353,177.853242849,-36.816173409,4,Havre Trough - Taupo Rift,Extensional
1988105.53674,5831067.77042,177.394741337,-37.5856479377,4,Havre Trough - Taupo Rift,Extensional
